week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,base_artist,expand,key,artist_title
4/2/2016,87,cheap thrills,Sia Featuring Sean Paul,92,81,5,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
4/9/2016,1,work,Rihanna Featuring Drake,1,1,9,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
4/9/2016,11,sorry,Justin Bieber,8,1,22,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
4/9/2016,28,the hills,The Weeknd,25,1,44,the weeknd,,the weeknd_the hills,The Weeknd-the hills
4/9/2016,71,cheap thrills,Sia Featuring Sean Paul,87,71,6,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
4/16/2016,1,work,Rihanna Featuring Drake,1,1,10,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
4/16/2016,13,sorry,Justin Bieber,11,1,23,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
4/16/2016,33,the hills,The Weeknd,28,1,45,the weeknd,,the weeknd_the hills,The Weeknd-the hills
4/16/2016,39,cheap thrills,Sia Featuring Sean Paul,71,39,7,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
4/23/2016,1,work,Rihanna Featuring Drake,1,1,11,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
4/23/2016,14,sorry,Justin Bieber,13,1,24,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
4/23/2016,21,one dance,Drake Featuring WizKid & Kyla,-,21,1,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
4/23/2016,42,the hills,The Weeknd,33,1,46,the weeknd,,the weeknd_the hills,The Weeknd-the hills
4/23/2016,55,cheap thrills,Sia Featuring Sean Paul,39,39,8,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
4/30/2016,1,work,Rihanna Featuring Drake,1,1,12,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
4/30/2016,13,one dance,Drake Featuring WizKid & Kyla,21,13,2,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
4/30/2016,16,sorry,Justin Bieber,14,1,25,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
4/30/2016,39,the hills,The Weeknd,42,1,47,the weeknd,,the weeknd_the hills,The Weeknd-the hills
