week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,base_artist,expand,key,artist_title
6/24/2017,32,closer,The Chainsmokers Featuring Halsey,32,1,45,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
7/1/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,22,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
7/1/2017,4,shape of you,Ed Sheeran,4,1,23,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
7/1/2017,5,humble.,Kendrick Lamar,5,1,11,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
7/1/2017,34,closer,The Chainsmokers Featuring Halsey,32,1,46,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
7/8/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,23,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
7/8/2017,5,shape of you,Ed Sheeran,4,1,24,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
7/8/2017,6,humble.,Kendrick Lamar,5,1,12,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
7/8/2017,33,closer,The Chainsmokers Featuring Halsey,34,1,47,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
7/15/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,24,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
7/15/2017,5,shape of you,Ed Sheeran,5,1,25,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
7/15/2017,7,humble.,Kendrick Lamar,6,1,13,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
7/15/2017,34,closer,The Chainsmokers Featuring Halsey,33,1,48,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
7/22/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,25,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
7/22/2017,5,shape of you,Ed Sheeran,5,1,26,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
7/22/2017,6,humble.,Kendrick Lamar,7,1,14,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
7/22/2017,36,closer,The Chainsmokers Featuring Halsey,34,1,49,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
7/29/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,26,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
7/29/2017,5,shape of you,Ed Sheeran,5,1,27,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
7/29/2017,6,humble.,Kendrick Lamar,6,1,15,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
7/29/2017,37,closer,The Chainsmokers Featuring Halsey,36,1,50,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
8/5/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,27,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
8/5/2017,6,shape of you,Ed Sheeran,5,1,28,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
8/5/2017,11,humble.,Kendrick Lamar,6,1,16,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
8/5/2017,36,closer,The Chainsmokers Featuring Halsey,37,1,51,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
8/12/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,28,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
8/12/2017,7,shape of you,Ed Sheeran,6,1,29,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
8/12/2017,12,humble.,Kendrick Lamar,11,1,17,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
8/12/2017,39,closer,The Chainsmokers Featuring Halsey,36,1,52,the chainsmokers,Halsey,the chainsmokers_closer,The Chainsmokers Featuring Halsey-closer
8/19/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,29,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
8/19/2017,9,shape of you,Ed Sheeran,7,1,30,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
8/19/2017,13,humble.,Kendrick Lamar,12,1,18,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
8/26/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,30,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
8/26/2017,9,shape of you,Ed Sheeran,9,1,31,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
8/26/2017,16,humble.,Kendrick Lamar,13,1,19,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
9/2/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,31,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
9/2/2017,9,shape of you,Ed Sheeran,9,1,32,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
9/2/2017,17,humble.,Kendrick Lamar,16,1,20,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
9/9/2017,1,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,32,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
9/9/2017,9,shape of you,Ed Sheeran,9,1,33,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
9/9/2017,19,humble.,Kendrick Lamar,17,1,21,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
9/16/2017,2,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,33,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
9/16/2017,11,shape of you,Ed Sheeran,9,1,34,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
9/16/2017,14,humble.,Kendrick Lamar,19,1,22,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
9/23/2017,3,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2,1,34,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
9/23/2017,16,shape of you,Ed Sheeran,11,1,35,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
9/23/2017,21,humble.,Kendrick Lamar,14,1,23,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
9/30/2017,4,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,3,1,35,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
9/30/2017,17,shape of you,Ed Sheeran,16,1,36,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
9/30/2017,23,humble.,Kendrick Lamar,21,1,24,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
10/7/2017,5,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,4,1,36,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
10/7/2017,18,shape of you,Ed Sheeran,17,1,37,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
10/7/2017,25,humble.,Kendrick Lamar,23,1,25,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
10/14/2017,5,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,5,1,37,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
10/14/2017,19,shape of you,Ed Sheeran,18,1,38,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
10/14/2017,28,humble.,Kendrick Lamar,25,1,26,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
10/21/2017,9,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,5,1,38,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
10/21/2017,20,shape of you,Ed Sheeran,19,1,39,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
10/21/2017,22,humble.,Kendrick Lamar,28,1,27,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
10/28/2017,11,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,9,1,39,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
10/28/2017,18,shape of you,Ed Sheeran,20,1,40,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
10/28/2017,33,humble.,Kendrick Lamar,22,1,28,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
11/4/2017,15,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,11,1,40,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
11/4/2017,22,shape of you,Ed Sheeran,18,1,41,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
11/4/2017,35,humble.,Kendrick Lamar,33,1,29,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
11/11/2017,17,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,15,1,41,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
11/11/2017,21,shape of you,Ed Sheeran,22,1,42,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
11/11/2017,38,humble.,Kendrick Lamar,35,1,30,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
11/18/2017,20,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,17,1,42,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
11/18/2017,23,shape of you,Ed Sheeran,21,1,43,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
11/18/2017,42,humble.,Kendrick Lamar,38,1,31,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
11/25/2017,18,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,20,1,43,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
11/25/2017,26,shape of you,Ed Sheeran,23,1,44,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
11/25/2017,46,humble.,Kendrick Lamar,42,1,32,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
12/2/2017,22,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,18,1,44,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
12/2/2017,30,shape of you,Ed Sheeran,26,1,45,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
12/2/2017,47,humble.,Kendrick Lamar,46,1,33,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
12/9/2017,19,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,22,1,45,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
12/9/2017,31,shape of you,Ed Sheeran,30,1,46,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
12/9/2017,49,humble.,Kendrick Lamar,47,1,34,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
12/16/2017,23,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,19,1,46,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
12/16/2017,26,shape of you,Ed Sheeran,31,1,47,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
12/16/2017,47,humble.,Kendrick Lamar,49,1,35,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
12/23/2017,25,shape of you,Ed Sheeran,26,1,48,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
12/23/2017,32,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,23,1,47,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
12/23/2017,50,humble.,Kendrick Lamar,47,1,36,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
12/30/2017,23,shape of you,Ed Sheeran,25,1,49,ed sheeran,,ed sheeran_shape of you,Ed Sheeran-shape of you
12/30/2017,31,despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,32,1,48,luis fonsi,Justin Bieber,luis fonsi_despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber-despacito
12/30/2017,47,humble.,Kendrick Lamar,50,1,37,kendrick lamar,,kendrick lamar_humble.,Kendrick Lamar-humble.
